week_start,schools_closed,pubs_closed,shops_closed,eating_places_closed,stay_at_home,household_mixing_indoors_banned,wfh,rule_of_6_indoors,curfew,eat_out_to_help_out
2022-01-17,0,0,0,0,0,0,1,0,0,0
2022-01-24,0,0,0,0,0,0,1,0,0,0
2022-01-31,0,0,0,0,0,0,1,0,0,0
2022-02-07,0,0,0,0,0,0,1,0,0,0
2022-02-14,0,0,0,0,0,0,1,0,0,0
2022-02-21,0,0,0,0,0,0,1,0,0,0
2022-02-28,0,0,0,0,0,0,1,0,0,0
2022-03-07,0,0,0,0,0,0,1,0,0,0
2022-03-14,0,0,0,0,0,0,1,0,0,0
2022-03-21,0,0,0,0,0,0,1,0,0,0
2022-03-28,0,0,0,0,0,0,1,0,0,0
2022-04-04,0,0,0,0,0,0,1,0,0,0
2022-04-11,0,0,0,0,0,0,1,0,0,0
2022-04-18,0,0,0,0,0,0,1,0,0,0
2022-04-25,0,0,0,0,0,0,1,0,0,0
2022-05-02,0,0,0,0,0,0,1,0,0,0
2022-05-09,0,0,0,0,0,0,1,0,0,0
2022-05-16,0,0,0,0,0,0,1,0,0,0
2022-05-23,0,0,0,0,0,0,1,0,0,0
2022-05-30,0,0,0,0,0,0,1,0,0,0
2022-06-06,0,0,0,0,0,0,1,0,0,0
2022-06-13,0,0,0,0,0,0,1,0,0,0
2022-06-20,0,0,0,0,0,0,1,0,0,0
2022-06-27,0,0,0,0,0,0,1,0,0,0
2022-07-04,0,0,0,0,0,0,1,0,0,0
2022-07-11,0,0,0,0,0,0,1,0,0,0
2022-07-18,0,0,0,0,0,0,1,0,0,0
2022-07-25,0,0,0,0,0,0,1,0,0,0
2022-08-01,0,0,0,0,0,0,1,0,0,0
2022-08-08,0,0,0,0,0,0,1,0,0,0
2022-08-15,0,0,0,0,0,0,1,0,0,0
2022-08-22,0,0,0,0,0,0,1,0,0,0
2022-08-29,0,0,0,0,0,0,1,0,0,0
2022-09-05,0,0,0,0,0,0,1,0,0,0
2022-09-12,0,0,0,0,0,0,1,0,0,0
2022-09-19,0,0,0,0,0,0,1,0,0,0
2022-09-26,0,0,0,0,0,0,1,0,0,0
2022-10-03,0,0,0,0,0,0,1,0,0,0
2022-10-10,0,0,0,0,0,0,1,0,0,0
2022-10-17,0,0,0,0,0,0,1,0,0,0
2022-10-24,0,0,0,0,0,0,1,0,0,0
2022-10-31,0,0,0,0,0,0,1,0,0,0
2022-11-07,0,0,0,0,0,0,1,0,0,0
2022-11-14,0,0,0,0,0,0,1,0,0,0
2022-11-21,0,0,0,0,0,0,1,0,0,0
2022-11-28,0,0,0,0,0,0,1,0,0,0
2022-12-05,0,0,0,0,0,0,1,0,0,0
2022-12-12,0,0,0,0,0,0,1,0,0,0
2022-12-19,0,0,0,0,0,0,1,0,0,0
2022-12-26,0,0,0,0,0,0,1,0,0,0
2023-01-02,0,0,0,0,0,0,1,0,0,0
2023-01-09,0,0,0,0,0,0,1,0,0,0
2023-01-16,0,0,0,0,0,0,1,0,0,0
2023-01-23,0,0,0,0,0,0,1,0,0,0
2023-01-30,0,0,0,0,0,0,1,0,0,0
2023-02-06,0,0,0,0,0,0,1,0,0,0
2023-02-13,0,0,0,0,0,0,1,0,0,0
2023-02-20,0,0,0,0,0,0,1,0,0,0
2023-02-27,0,0,0,0,0,0,1,0,0,0
2023-03-06,0,0,0,0,0,0,1,0,0,0
2023-03-13,0,0,0,0,0,0,1,0,0,0
2023-03-20,0,0,0,0,0,0,1,0,0,0
2023-03-27,0,0,0,0,0,0,1,0,0,0
2023-04-03,0,0,0,0,0,0,1,0,0,0
2023-04-10,0,0,0,0,0,0,1,0,0,0
2023-04-17,0,0,0,0,0,0,1,0,0,0
2023-04-24,0,0,0,0,0,0,1,0,0,0
2023-05-01,0,0,0,0,0,0,1,0,0,0
2023-05-08,0,0,0,0,0,0,1,0,0,0
2023-05-15,0,0,0,0,0,0,1,0,0,0
2023-05-22,0,0,0,0,0,0,1,0,0,0
2023-05-29,0,0,0,0,0,0,1,0,0,0
2023-06-05,0,0,0,0,0,0,1,0,0,0
2023-06-12,0,0,0,0,0,0,1,0,0,0
2023-06-19,0,0,0,0,0,0,1,0,0,0
2023-06-26,0,0,0,0,0,0,1,0,0,0
2023-07-03,0,0,0,0,0,0,1,0,0,0
2023-07-10,0,0,0,0,0,0,1,0,0,0
2023-07-17,0,0,0,0,0,0,1,0,0,0
2023-07-24,0,0,0,0,0,0,1,0,0,0
2023-07-31,0,0,0,0,0,0,1,0,0,0
2023-08-07,0,0,0,0,0,0,1,0,0,0
2023-08-14,0,0,0,0,0,0,1,0,0,0
2023-08-21,0,0,0,0,0,0,1,0,0,0
2023-08-28,0,0,0,0,0,0,1,0,0,0
2023-09-04,0,0,0,0,0,0,1,0,0,0
2023-09-11,0,0,0,0,0,0,1,0,0,0
2023-09-18,0,0,0,0,0,0,1,0,0,0
2023-09-25,0,0,0,0,0,0,1,0,0,0
2023-10-02,0,0,0,0,0,0,1,0,0,0
2023-10-09,0,0,0,0,0,0,1,0,0,0
2023-10-16,0,0,0,0,0,0,1,0,0,0
2023-10-23,0,0,0,0,0,0,1,0,0,0
2023-10-30,0,0,0,0,0,0,1,0,0,0
2023-11-06,0,0,0,0,0,0,1,0,0,0
2023-11-13,0,0,0,0,0,0,1,0,0,0
2023-11-20,0,0,0,0,0,0,1,0,0,0
2023-11-27,0,0,0,0,0,0,1,0,0,0
2023-12-04,0,0,0,0,0,0,1,0,0,0
2023-12-11,0,0,0,0,0,0,1,0,0,0
2023-12-18,0,0,0,0,0,0,1,0,0,0
2023-12-25,0,0,0,0,0,0,1,0,0,0
2024-01-01,0,0,0,0,0,0,1,0,0,0
2024-01-08,0,0,0,0,0,0,1,0,0,0
